datetime_local,water_temp_degC,do_mgL,batt_volt
2019-10-09 16:14:00,22.77,10.37,3.20
2019-10-09 16:15:00,22.84,10.39,3.20
2019-10-09 16:16:00,22.86,10.38,3.20
2019-10-09 16:17:00,22.84,10.40,3.20
2019-10-09 16:18:00,22.84,10.40,3.20
2019-10-09 16:19:00,22.86,10.41,3.20
2019-10-09 16:20:00,22.80,10.45,3.20
2019-10-09 16:21:00,22.84,10.45,3.20
2019-10-09 16:22:00,22.91,10.44,3.20
2019-10-09 16:23:00,22.87,10.45,3.20
2019-10-09 16:24:00,22.87,10.44,3.20
2019-10-09 16:25:00,22.86,10.44,3.20
2019-10-09 16:26:00,22.84,10.40,3.20
2019-10-09 16:27:00,22.83,10.38,3.20
2019-10-09 16:28:00,22.84,10.34,3.20
2019-10-09 16:29:00,22.84,10.37,3.20
2019-10-09 16:30:00,22.86,10.49,3.20
2019-10-09 16:31:00,22.88,10.51,3.20
2019-10-09 16:32:00,22.85,10.52,3.20
2019-10-09 16:33:00,22.84,10.52,3.20
2019-10-09 16:34:00,22.85,10.56,3.20
2019-10-09 16:35:00,22.84,10.53,3.20
2019-10-09 16:36:00,22.89,10.49,3.20
2019-10-09 16:37:00,22.89,10.48,3.20
2019-10-09 16:38:00,22.88,10.39,3.20
2019-10-09 16:39:00,22.88,10.28,3.20
2019-10-09 16:40:00,22.89,10.27,3.20
2019-10-09 16:41:00,22.85,10.29,3.20
2019-10-09 16:42:00,22.87,10.29,3.20
2019-10-09 16:43:00,22.89,10.31,3.20
2019-10-09 16:44:00,22.94,10.36,3.20
2019-10-09 16:45:00,22.82,10.45,3.20
2019-10-09 16:46:00,22.88,10.44,3.20
2019-10-09 16:47:00,22.90,10.42,3.20
2019-10-09 16:48:00,22.90,10.40,3.20
2019-10-09 16:49:00,22.86,10.41,3.20
2019-10-09 16:50:00,22.86,10.47,3.20
2019-10-09 16:51:00,22.84,10.51,3.20
2019-10-09 16:52:00,22.88,10.50,3.20
2019-10-09 16:53:00,22.90,10.49,3.20
2019-10-09 16:54:00,22.88,10.47,3.20
2019-10-09 16:55:00,22.89,10.48,3.20
2019-10-09 16:56:00,22.83,10.52,3.20
2019-10-09 16:57:00,22.87,10.50,3.20
2019-10-09 16:58:00,22.86,10.61,3.20
2019-10-09 16:59:00,22.82,10.63,3.20
2019-10-09 17:00:00,22.85,10.65,3.20
2019-10-09 17:01:00,22.78,10.68,3.20
2019-10-09 17:02:00,22.83,10.69,3.20
2019-10-09 17:03:00,22.81,10.72,3.20
2019-10-09 17:04:00,22.85,10.75,3.20
2019-10-09 17:05:00,22.87,10.75,3.20
2019-10-09 17:06:00,22.80,10.79,3.20
2019-10-09 17:07:00,22.82,10.79,3.20
2019-10-09 17:08:00,22.81,10.79,3.20
2019-10-09 17:09:00,22.82,10.78,3.20
2019-10-09 17:10:00,22.78,10.80,3.20
2019-10-09 17:11:00,22.81,10.79,3.20
2019-10-09 17:12:00,22.83,10.80,3.20
2019-10-09 17:13:00,22.83,10.81,3.20
2019-10-09 17:14:00,22.82,10.81,3.20
2019-10-09 17:15:00,22.80,10.79,3.20
2019-10-09 17:16:00,22.84,10.81,3.20
2019-10-09 17:17:00,22.80,10.82,3.20
